start,end,chrom,resolution
600000,800000,chrX,100000
2400000,2600000,chrX,100000
8800000,9000000,chrX,100000
9700000,9900000,chrX,100000
12300000,12500000,chrX,100000
13600000,13800000,chrX,100000
14900000,15100000,chrX,100000
15600000,15800000,chrX,100000
16000000,16200000,chrX,100000
16700000,16900000,chrX,100000
17200000,17400000,chrX,100000
18900000,19100000,chrX,100000
19400000,19600000,chrX,100000
20000000,20200000,chrX,100000
23500000,23700000,chrX,100000
23900000,24100000,chrX,100000
39400000,39600000,chrX,100000
41500000,41700000,chrX,100000
46400000,46600000,chrX,100000
56700000,56900000,chrX,100000
72200000,72400000,chrX,100000
74300000,74600000,chrX,100000
140100000,140300000,chrX,100000
140700000,140900000,chrX,100000
141100000,141300000,chrX,100000
144800000,145000000,chrX,100000
147800000,148000000,chrX,100000
148600000,148800000,chrX,100000
150500000,150700000,chrX,100000
152300000,152500000,chrX,100000
152800000,153000000,chrX,100000
