start,end,chrom,resolution
500000,1500000,chrX,500000
2000000,3000000,chrX,500000
11000000,12000000,chrX,500000
12500000,13500000,chrX,500000
16000000,17000000,chrX,500000
19500000,21500000,chrX,500000
28500000,29500000,chrX,500000
37500000,38500000,chrX,500000
40000000,41000000,chrX,500000
46500000,47500000,chrX,500000
49500000,51000000,chrX,500000
55500000,56500000,chrX,500000
67000000,68000000,chrX,500000
77500000,78500000,chrX,500000
87500000,89500000,chrX,500000
91500000,92500000,chrX,500000
97500000,98500000,chrX,500000
100000000,101000000,chrX,500000
103000000,105000000,chrX,500000
106000000,107000000,chrX,500000
108500000,111000000,chrX,500000
112000000,113000000,chrX,500000
113500000,114500000,chrX,500000
116000000,117000000,chrX,500000
125500000,128500000,chrX,500000
132500000,133500000,chrX,500000
137000000,139000000,chrX,500000
145500000,146500000,chrX,500000
147500000,149000000,chrX,500000
149500000,150500000,chrX,500000
