start,end,chrom,resolution
600000,800000,chrX,100000
2200000,2400000,chrX,100000
9000000,9300000,chrX,100000
9700000,9900000,chrX,100000
10200000,10400000,chrX,100000
10600000,10800000,chrX,100000
10900000,11100000,chrX,100000
12400000,12600000,chrX,100000
13500000,13700000,chrX,100000
14900000,15100000,chrX,100000
15600000,15800000,chrX,100000
16100000,16300000,chrX,100000
16900000,17300000,chrX,100000
20200000,20400000,chrX,100000
21400000,21600000,chrX,100000
24800000,25000000,chrX,100000
37400000,37600000,chrX,100000
41500000,41700000,chrX,100000
43500000,43700000,chrX,100000
44900000,45100000,chrX,100000
46400000,46600000,chrX,100000
50600000,50800000,chrX,100000
52600000,52800000,chrX,100000
53600000,53900000,chrX,100000
54100000,54300000,chrX,100000
65400000,65600000,chrX,100000
66400000,66600000,chrX,100000
67100000,67300000,chrX,100000
69900000,70100000,chrX,100000
71000000,71200000,chrX,100000
71700000,71900000,chrX,100000
74100000,74300000,chrX,100000
74800000,75000000,chrX,100000
77200000,77400000,chrX,100000
78100000,78300000,chrX,100000
81200000,81400000,chrX,100000
88900000,89100000,chrX,100000
89900000,90100000,chrX,100000
91300000,91500000,chrX,100000
97400000,97600000,chrX,100000
100700000,100900000,chrX,100000
103600000,103800000,chrX,100000
105100000,105300000,chrX,100000
106200000,106400000,chrX,100000
107100000,107300000,chrX,100000
107600000,107800000,chrX,100000
108000000,108200000,chrX,100000
111600000,111800000,chrX,100000
112000000,112200000,chrX,100000
114600000,114800000,chrX,100000
116900000,117100000,chrX,100000
119500000,119700000,chrX,100000
120300000,120500000,chrX,100000
125600000,125800000,chrX,100000
127300000,127500000,chrX,100000
127900000,128100000,chrX,100000
129900000,130100000,chrX,100000
130400000,130600000,chrX,100000
133200000,133400000,chrX,100000
135700000,135900000,chrX,100000
136200000,136400000,chrX,100000
145300000,145500000,chrX,100000
147100000,147300000,chrX,100000
148600000,148800000,chrX,100000
152000000,152200000,chrX,100000
