start,end,chrom,resolution
1000000,4000000,chrX,500000
8500000,10500000,chrX,500000
11500000,12500000,chrX,500000
13500000,15500000,chrX,500000
19500000,20500000,chrX,500000
23000000,25000000,chrX,500000
38500000,39500000,chrX,500000
41500000,42500000,chrX,500000
43000000,45000000,chrX,500000
46000000,47000000,chrX,500000
57000000,58000000,chrX,500000
72000000,73000000,chrX,500000
139500000,142000000,chrX,500000
144500000,145500000,chrX,500000
146500000,147500000,chrX,500000
148000000,149000000,chrX,500000
150000000,151000000,chrX,500000
