start,end,chrom,resolution
600000,800000,chrX,100000
10300000,10600000,chrX,100000
13900000,14100000,chrX,100000
14400000,14600000,chrX,100000
20100000,20300000,chrX,100000
23400000,23600000,chrX,100000
24300000,24500000,chrX,100000
39100000,39300000,chrX,100000
41400000,41600000,chrX,100000
46100000,46300000,chrX,100000
50600000,50800000,chrX,100000
52300000,52500000,chrX,100000
54700000,54900000,chrX,100000
114700000,114900000,chrX,100000
116800000,117000000,chrX,100000
119700000,119900000,chrX,100000
120500000,120700000,chrX,100000
125500000,125700000,chrX,100000
127200000,127400000,chrX,100000
127900000,128100000,chrX,100000
133700000,133900000,chrX,100000
135600000,135800000,chrX,100000
138200000,138400000,chrX,100000
143900000,144100000,chrX,100000
151400000,151600000,chrX,100000
152300000,152500000,chrX,100000
152800000,153000000,chrX,100000
