chrom,start,end
chrX,500000,2500000
chrX,3000000,3500000
chrX,4000000,4500000
chrX,6500000,7500000
chrX,8000000,10500000
chrX,11000000,11500000
chrX,12500000,14000000
chrX,15000000,17500000
chrX,18000000,20500000
chrX,21500000,22000000
chrX,23000000,25000000
chrX,30000000,31500000
chrX,37000000,42000000
chrX,43500000,46000000
chrX,46500000,58500000
chrX,65500000,66500000
chrX,67000000,69500000
chrX,74500000,75000000
chrX,97500000,98500000
chrX,99500000,100500000
chrX,103500000,105000000
chrX,106500000,107500000
chrX,108500000,110500000
chrX,114500000,117000000
chrX,120000000,120500000
chrX,125500000,126500000
chrX,128500000,129000000
chrX,130000000,133000000
chrX,142000000,142500000
chrX,144500000,147000000
chrX,149000000,151000000
chrX,152000000,153000000
