chrom,start,end
chrX,0,2000000
chrX,16000000,16500000
chrX,17500000,19500000
chrX,23000000,24000000
chrX,38500000,41000000
chrX,43500000,45000000
chrX,46000000,57000000
chrX,65000000,66000000
chrX,66500000,68500000
chrX,74000000,75500000
chrX,93000000,94000000
chrX,97000000,98000000
chrX,99000000,99500000
chrX,103000000,104500000
chrX,106000000,108000000
chrX,110000000,110500000
chrX,114000000,116500000
chrX,119500000,120500000
chrX,125500000,126000000
chrX,127500000,139000000
chrX,140500000,141000000
chrX,143000000,143500000
chrX,144000000,147000000
chrX,152000000,152500000
