chrom,start,end
chrX,600000,1100000
chrX,1200000,2300000
chrX,7800000,7900000
chrX,9600000,9900000
chrX,10000000,10100000
chrX,10300000,10400000
chrX,10900000,11000000
chrX,12500000,13000000
chrX,13100000,13300000
chrX,16400000,19200000
chrX,19500000,19800000
chrX,20700000,21700000
chrX,21900000,28900000
chrX,29900000,30000000
chrX,37900000,40200000
chrX,40300000,40400000
chrX,40700000,40900000
chrX,41000000,41100000
chrX,47000000,50300000
chrX,50500000,50600000
chrX,53000000,54200000
chrX,67200000,70900000
chrX,71000000,71200000
chrX,71500000,72000000
chrX,72100000,73400000
chrX,73500000,74100000
chrX,74700000,77000000
chrX,77100000,77300000
chrX,77500000,78500000
chrX,78700000,78800000
chrX,79000000,79100000
chrX,79200000,79300000
chrX,79500000,79600000
chrX,79800000,80800000
chrX,81200000,81600000
chrX,81800000,82000000
chrX,82100000,82600000
chrX,82800000,84100000
chrX,84300000,84800000
chrX,85100000,85500000
chrX,85600000,85700000
chrX,86200000,86300000
chrX,87100000,87200000
chrX,87400000,87600000
chrX,88000000,88300000
chrX,89200000,89300000
chrX,89400000,91700000
chrX,97600000,97800000
chrX,97900000,100300000
chrX,100800000,100900000
chrX,103400000,104600000
chrX,106200000,107500000
chrX,107600000,107900000
chrX,108000000,108800000
chrX,109300000,109600000
chrX,110400000,112100000
chrX,114100000,116400000
chrX,119900000,120200000
chrX,125700000,126600000
chrX,126800000,127000000
chrX,127900000,129900000
chrX,130300000,130400000
chrX,130500000,133100000
chrX,135700000,136000000
chrX,137600000,137700000
chrX,140000000,140100000
chrX,140200000,140500000
chrX,141100000,141200000
chrX,145500000,148200000
chrX,148300000,150200000
chrX,150500000,152100000
