chrom,start,end
chrX,0,2000000
chrX,8000000,9500000
chrX,12500000,13000000
chrX,14500000,15000000
chrX,16000000,16500000
chrX,17500000,20000000
chrX,21000000,21500000
chrX,23000000,24000000
chrX,38000000,41000000
chrX,43000000,43500000
chrX,44000000,44500000
chrX,46000000,51500000
chrX,52000000,55500000
chrX,64000000,66000000
chrX,66500000,69000000
chrX,74000000,74500000
chrX,92500000,93500000
chrX,97000000,98000000
chrX,99000000,100000000
chrX,103000000,104500000
chrX,106000000,107000000
chrX,107500000,110000000
chrX,114000000,116500000
chrX,119500000,120000000
chrX,125000000,126000000
chrX,128000000,128500000
chrX,129500000,132500000
chrX,141500000,142000000
chrX,144000000,144500000
chrX,145000000,146500000
chrX,148500000,150000000
chrX,151500000,153000000
