chrom,start,end
chrX,500000,3000000
chrX,8000000,13000000
chrX,15000000,19500000
chrX,21000000,24500000
chrX,37000000,41000000
chrX,43000000,49500000
chrX,52000000,54000000
chrX,61500000,62000000
chrX,64500000,69500000
chrX,70500000,71000000
chrX,73500000,74500000
chrX,82000000,82500000
chrX,92500000,94000000
chrX,97000000,98000000
chrX,98500000,100500000
chrX,103000000,104500000
chrX,105500000,107500000
chrX,111000000,112000000
chrX,114000000,116500000
chrX,119000000,120000000
chrX,125000000,126500000
chrX,127500000,132500000
chrX,136500000,137000000
chrX,143500000,144500000
chrX,145000000,146500000
chrX,148000000,151000000
chrX,152000000,153000000
