chrom,start,end,resolution
chrX,500000,800000,100000
chrX,900000,1200000,100000
chrX,1300000,3900000,100000
chrX,4000000,4200000,100000
chrX,4300000,4400000,100000
chrX,5300000,5400000,100000
chrX,5700000,10000000,100000
chrX,10700000,10900000,100000
chrX,11000000,11500000,100000
chrX,12300000,13800000,100000
chrX,14900000,15600000,100000
chrX,15700000,15800000,100000
chrX,16200000,16900000,100000
chrX,17100000,18000000,100000
chrX,18100000,18200000,100000
chrX,18300000,19200000,100000
chrX,19600000,20000000,100000
chrX,23500000,23600000,100000
chrX,23700000,23900000,100000
chrX,24000000,24200000,100000
chrX,24300000,24400000,100000
chrX,38100000,38200000,100000
chrX,39400000,41500000,100000
chrX,46300000,50500000,100000
chrX,52700000,53900000,100000
chrX,54100000,54500000,100000
chrX,54700000,54800000,100000
chrX,68100000,68800000,100000
chrX,73000000,74000000,100000
chrX,74500000,74600000,100000
chrX,75200000,75300000,100000
chrX,91600000,91900000,100000
chrX,115000000,116900000,100000
chrX,120000000,120100000,100000
chrX,125800000,127000000,100000
chrX,128000000,128100000,100000
chrX,128800000,129100000,100000
chrX,129600000,129700000,100000
chrX,130000000,130100000,100000
chrX,130200000,130500000,100000
chrX,130600000,133300000,100000
chrX,135800000,136400000,100000
chrX,136800000,137200000,100000
chrX,137400000,138100000,100000
chrX,144600000,144700000,100000
chrX,144800000,148200000,100000
chrX,148400000,152000000,100000
chrX,152600000,153000000,100000
