chrom,start,end
chrX,700000,3300000
chrX,8200000,13300000
chrX,14900000,20200000
chrX,21500000,24500000
chrX,29900000,30500000
chrX,31000000,31400000
chrX,37500000,38100000
chrX,38200000,41500000
chrX,43400000,45800000
chrX,46100000,47900000
chrX,48300000,49100000
chrX,49600000,49800000
chrX,50300000,50700000
chrX,52600000,54300000
chrX,62100000,62300000
chrX,63400000,63500000
chrX,65200000,65300000
chrX,65400000,65500000
chrX,65700000,66500000
chrX,67000000,69600000
chrX,70900000,71600000
chrX,72000000,72100000
chrX,72900000,73000000
chrX,74000000,74800000
chrX,77300000,77500000
chrX,77800000,78000000
chrX,80700000,81300000
chrX,81400000,82100000
chrX,82300000,82400000
chrX,82500000,83000000
chrX,83200000,83300000
chrX,83400000,83500000
chrX,84000000,84400000
chrX,88400000,89200000
chrX,89900000,90300000
chrX,91500000,91700000
chrX,93200000,93300000
chrX,93600000,93800000
chrX,94000000,94200000
chrX,97300000,98700000
chrX,99000000,100400000
chrX,100600000,100900000
chrX,103500000,104800000
chrX,106200000,107500000
chrX,109300000,109500000
chrX,111400000,111500000
chrX,111600000,112100000
chrX,114500000,116400000
chrX,116500000,116600000
chrX,119700000,120200000
chrX,125700000,127500000
chrX,127700000,130000000
chrX,130100000,130300000
chrX,130500000,131400000
chrX,131500000,131800000
chrX,131900000,132300000
chrX,132500000,132600000
chrX,132700000,133000000
chrX,135800000,136100000
chrX,137000000,137400000
chrX,137500000,137600000
chrX,140700000,140800000
chrX,144400000,144600000
chrX,145400000,146700000
chrX,146800000,146900000
chrX,148800000,150200000
chrX,150300000,152100000
