chrom,start,end,resolution
chrX,900000,2600000,100000
chrX,3200000,3500000,100000
chrX,6600000,6700000,100000
chrX,8400000,8500000,100000
chrX,8600000,9900000,100000
chrX,10000000,10300000,100000
chrX,10700000,11600000,100000
chrX,11700000,13700000,100000
chrX,14500000,14600000,100000
chrX,15000000,15100000,100000
chrX,15300000,15600000,100000
chrX,16300000,16900000,100000
chrX,17000000,17700000,100000
chrX,17900000,18800000,100000
chrX,19100000,19200000,100000
chrX,19300000,20100000,100000
chrX,21600000,21800000,100000
chrX,23400000,24900000,100000
chrX,37100000,37200000,100000
chrX,37400000,41900000,100000
chrX,43400000,45100000,100000
chrX,46400000,50200000,100000
chrX,50400000,50700000,100000
chrX,51200000,52000000,100000
chrX,52600000,55400000,100000
chrX,55600000,55700000,100000
chrX,56100000,56200000,100000
chrX,56400000,56800000,100000
chrX,56900000,57100000,100000
chrX,57300000,57800000,100000
chrX,60500000,60700000,100000
chrX,62100000,62400000,100000
chrX,62500000,62600000,100000
chrX,65200000,66400000,100000
chrX,67000000,67600000,100000
chrX,67700000,68800000,100000
chrX,69000000,69500000,100000
chrX,69600000,69800000,100000
chrX,71000000,71100000,100000
chrX,71300000,71800000,100000
chrX,72900000,73200000,100000
chrX,74200000,74900000,100000
chrX,75200000,75300000,100000
chrX,77400000,77600000,100000
chrX,82800000,82900000,100000
chrX,91700000,91800000,100000
chrX,93500000,94400000,100000
chrX,97400000,97600000,100000
chrX,97800000,97900000,100000
chrX,98100000,98600000,100000
chrX,99200000,99400000,100000
chrX,99800000,100500000,100000
chrX,100700000,100900000,100000
chrX,103600000,105400000,100000
chrX,106200000,107300000,100000
chrX,107500000,108000000,100000
chrX,108300000,108400000,100000
chrX,109400000,109600000,100000
chrX,112000000,112200000,100000
chrX,114500000,116500000,100000
chrX,116600000,116900000,100000
chrX,119800000,120400000,100000
chrX,125700000,126700000,100000
chrX,128400000,128500000,100000
chrX,129500000,129700000,100000
chrX,130600000,133200000,100000
chrX,135900000,136200000,100000
chrX,143900000,144000000,100000
chrX,145400000,147100000,100000
chrX,148900000,149100000,100000
chrX,149300000,150900000,100000
chrX,152300000,153300000,100000
